id,Tiêu đề,Giá,Khoảng giá min,Khoảng giá max,Địa chỉ,Mô tả chi tiết,Thương hiệu,Dòng xe,Năm đăng ký,Số Km đã đi,Tình trạng,Loại xe,Dung tích xe,Xuất xứ,Chính sách bảo hành,Trọng lượng,Href,log_gia,Thương hiệu_encoded,Dòng xe_encoded,Loại xe_encoded,Dung tích xe_encoded,Xuất xứ_encoded,cluster,kmeans_cluster,gmm_cluster,agg_cluster,sil_value,pca1,pca2
1,"Bán Vespa Sprint 125cc 2024 xanh dương, xe đẹp 95%",66.0,72.53,85.14,"Phường Bến Thành, Quận 1, Tp Hồ Chí Minh","Bán xe #Vespa Sprint 125cc. Mua mới tại #Topcom 01/2024, Xe chính chủ. Chạy được 14.000km. Giá: 66tr(TL). Anh/chị quan tâm nhắn Zalo số: ***. Công chứng Hợp đồng mua bán trong ngày.",Piaggio,Vespa,2024.0,14000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-1-tp-ho-chi-minh/125109338.htm,4.204692619390966,20,144,1,0,7,0,0,0,0,0.5538470076197024,1.4461454765595243,-0.9029759212891881
2,🔥🔥SH 150i Thắng ABS 2019 BSTP Chính Chủ,79.5,62.76,73.68,"Phường Tân Định, Quận 1, Tp Hồ Chí Minh","_Bán SH 150i Thắng ABS 2019 Xám Bạc, Úp Team Xám Xi Măng.
_Xe nhà sử dụng kỹ ít đi, chính chủ, biển số thành phố
_Xe mới keng, Máy móc nguyên zin, êm bốc, ae qua xe xem test thoải mái
_Mua bán tại nhà, sang tên ký giấy 1 nốt nhạc
_Xem Xe Tại Nhà Tân Sơn Nhì, P Tân Sơn Nhì , Q Tân Phú",Honda,SH,2019.0,28000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-1-tp-ho-chi-minh/124979025.htm,4.388257184424518,11,114,1,0,7,0,0,0,0,0.540828708928109,1.3034361065618547,-0.40104787425171384
3,CC Vision Thể Thao 2023 Đen+bộ đèn Demi audi A7,37.0,28.0,32.86,"Phường Cầu Kho, Quận 1, Tp Hồ Chí Minh","Chính chủ bán Vision phiên bản Thể Thao 2023 Đen
Xe mua chính hãng tháng 10/2023, bảo dưỡng đầy đủ, xe gia đình đi giữ gìn.
Xe đã độ lên đèn Demi led audi A7 và Đèn hậu led audi A7 (giá thị trường 5tr)
(còn nguyên đèn mới zin theo xe)
Liên hệ chính chủ 09xau xau 5 7 năm 3 sáu 7",Honda,Vision,2023.0,12000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-1-tp-ho-chi-minh/125168772.htm,3.6375861597263857,11,146,1,0,7,0,0,0,0,0.6695169032543223,0.8345892557564142,-1.031636300982447
4,Vespa Sprint 2019 -125- Đen Đỏ Sport -CHÍNH CHỦ,45.0,43.1,50.6,"Phường Bến Nghé, Quận 1, Tp Hồ Chí Minh","XE CÁ NHÂN BÁN - XE DO EM ĐỨNG TÊN CHÍNH CHỦ.
Chi Tiết hình ảnh xe đã có đủ. Cần thì liên hệ em.
Sản phẩm theo xe zin còn ( Kính, Bao tay, cảng sau, Chìa khóa còn đủ )
CÓ FIX THÊM CHO ANH CHỊ VỀ SƠN DẬM LẠI.
Xem xe chi tiết Quận 1.
liên hệ trao đổi qua GIÀLÔ: Không 933940 bốn ba hai.",Piaggio,Vespa,2019.0,60000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-1-tp-ho-chi-minh/125127815.htm,3.828641396489095,20,144,1,0,7,0,0,0,0,0.6989111248805248,0.5509337211430317,-0.5602613831890039
5,Xe tay ga Yamaha Latte 125 – Đăng ký 2021,23.0,17.02,19.98,"Phường Tân Định, Quận 1, Tp Hồ Chí Minh","🛵 Thông tin xe:

Dòng xe tay ga cao cấp Yamaha Latte 125, máy mạnh, tiết kiệm xăng.

Màu đen nhám phối yên nâu.

Xe thuộc phiên bản cao cấp có hệ thống Stop & Start System, giúp tiết kiệm nhiên liệu và giảm khí thải.

Odo hiện tại hơn 24.000 km – bảo dưỡng đều, máy móc vẫn rất ổn định.

Đăng ký lần đầu: tháng 3/2021

Máy zin, đề nhạy, vận hành êm

Cốp xe rộng, tiện để nón, túi xách

Bánh còn tốt, phanh an toàn, đèn đóm đầy đủ

📍 Quận 1, TP.HCM, xem xe trực tiếp tại nhà theo hẹn
💰 Giá bán: 23 triệu",Yamaha,Latte,2021.0,24000,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-1-tp-ho-chi-minh/125108206.htm,3.1780538303479458,33,75,1,0,2,0,0,0,0,0.7246440701963309,0.3911102155493784,-0.9484460942740158
6,Xe hoc sinh di hoc nay có bằng lái muốn bán lại,7.5,7.73,9.08,"Phường Tân Định, Quận 1, Tp Hồ Chí Minh",Xe cup 50cc không cần bằng lái chay im không hao xăng đề 1 cái chạy,SYM,Elegant,2018.0,25000,Đã sử dụng,Xe số,Dưới 50 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-1-tp-ho-chi-minh/125104958.htm,2.1400661634962708,23,43,2,2,7,1,1,1,0,0.3002503783982249,0.786458210697544,1.2598005875139024
7,xe Air Blade 2013,16.0,13.83,16.24,"Phường Nguyễn Cư Trinh, Quận 1, Tp Hồ Chí Minh","Xe Air Blade 2013, BST, số km: 80.000, xe mới fix, giá cả thương lượng thêm",Honda,Air Blade,2013.0,80000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-1-tp-ho-chi-minh/125063854.htm,2.833213344056216,11,8,1,0,6,2,2,0,0,0.743824366681907,-0.4834564439108934,-0.2602350341035598
8,Bán Xe Wave HQ up dàn áo leng keng,7.3,10.08,11.83,"Phường Phạm Ngũ Lão, Quận 1, Tp Hồ Chí Minh","Cục máy làm chạy nhẹ xe
dàn áo còn keng
bstp , bao tranh chấp , gtdd 09c
giá 7tr3 ( fix xăng cộ ae xem xe) 
Cô dì chú bán ae ưng ý thì kb zalo eml",Honda,Wave,2003.0,2,Đã sử dụng,Xe số,50 - 100 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-1-tp-ho-chi-minh/125056634.htm,2.1162555148025524,11,150,2,1,7,2,2,1,0,0.5420606106440923,-0.6488184089247724,1.2808845847888468
9,cần bán xe để đối xe nên để giá yêu thương,7.5,6.97,8.19,"Phường Bến Thành, Quận 1, Tp Hồ Chí Minh","Xe chính chủ
xe chạy còn ngon 
máy mạnh
bị bể bửng trước 
LH:***",Yamaha,Sirius,2015.0,35000,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-1-tp-ho-chi-minh/125045250.htm,2.1400661634962708,33,124,2,0,6,0,0,0,0,0.7634959566571403,-0.35998560351152603,-0.5775979340405321
10,Xe honda Lead 2020 BSTP bản giới hạn đèn Led,33.0,27.45,32.22,"Phường Đa Kao, Quận 1, Tp Hồ Chí Minh","Mình đi xuất cảnh định cư nên cần bán chiếc xe honda LEAD 2020 BSTP xe nhà ít đi.bảo dưỡng đầy đủ nên xe còn rất mới.zin từ trong ra ngoài.nước sơn zin ko dặm tút.máy móc zin êm.chạy rất mạnh và nhẹ ga.xe này mua về là đi thôi.ko phải làm gì hết.xe sài smakey.còn đủ 2 kính.xe màu đỏ đô.tới xem xe phát hiện ra chổ nào ko zin hoặc dậm tút tặng luôn xe.mình là nguoi dùng bán.chứ ko phải cò lái.giấy tờ hợp pháp mua bán ra phòng công chứng,công chứng sang tên luôn.",Honda,Lead,2020.0,20000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-1-tp-ho-chi-minh/125036254.htm,3.5263605246161616,11,76,1,0,6,0,0,0,0,0.7236237003241497,0.5218853614135338,-0.8144419599931444
